buffer,time(s)
64,3.3903648853302
96,2.2254810333251953
128,1.8764305114746094
160,1.5725748538970947
192,1.4107377529144287
224,1.3031275272369385
256,1.1902377605438232
288,1.0687098503112793
320,1.0524659156799316
352,0.9642658233642578
384,0.9582104682922363
416,0.918217658996582
448,0.8506755828857422
480,0.837540864944458
512,0.8112516403198242
544,0.8245639801025391
576,0.7831051349639893
608,0.8573412895202637
640,0.7793688774108887
672,0.774399995803833
704,0.7658350467681885
736,0.8292109966278076
768,0.7775051593780518
800,0.7379164695739746
832,0.7452049255371094
864,0.7086517810821533
896,0.6902446746826172
928,0.6778931617736816
960,0.7020745277404785
992,0.7075860500335693
1024,0.7108786106109619
1056,0.6901545524597168
1088,0.6605713367462158
1120,0.6762971878051758
1152,0.6398570537567139
1184,0.6584420204162598
1216,0.6444699764251709
1248,0.6973123550415039
1280,0.6495764255523682
1312,0.6271095275878906
1344,0.6267857551574707
1376,0.6337392330169678
1408,0.6259138584136963
1440,0.6513690948486328
1472,0.6632225513458252
1504,0.61106276512146
1536,0.6438791751861572
1568,0.6111464500427246
1600,0.6552801132202148
1632,0.610954999923706
1664,0.6037123203277588
1696,0.6314256191253662
1728,0.6386229991912842
1760,0.6113836765289307
1792,0.6474127769470215
1824,0.6114540100097656
1856,0.5914216041564941
1888,0.6207489967346191
1920,0.6984677314758301
1952,0.652616024017334
1984,0.5857079029083252
2016,0.6045002937316895
2048,0.6038711071014404
2080,0.5821304321289062
2112,0.5880222320556641
2144,0.607135534286499
2176,0.5997209548950195
2208,0.6313614845275879
2240,0.5827417373657227
2272,0.5778779983520508
2304,0.6170508861541748
2336,0.5658771991729736
2368,0.5650880336761475
2400,0.638275146484375
2432,0.6192879676818848
2464,0.5858674049377441
2496,0.5923900604248047
2528,0.6004040241241455
2560,0.585881233215332
2592,0.573584794998169
2624,0.6104183197021484
2656,0.6124253273010254
2688,0.6493339538574219
2720,0.6060762405395508
2752,0.5592677593231201
2784,0.5578150749206543
2816,0.5607519149780273
2848,0.5879044532775879
2880,0.5871567726135254
2912,0.5733239650726318
2944,0.5780911445617676
2976,0.5998334884643555
3008,0.6151432991027832
3040,0.5742571353912354
3072,0.5560235977172852
3104,0.5781087875366211
3136,0.5809268951416016
3168,0.5802657604217529
3200,0.5854923725128174
3232,0.5630838871002197
3264,0.5858447551727295
3296,0.6385836601257324
3328,0.5787408351898193
3360,0.5715408325195312
3392,0.5917296409606934
3424,0.5685238838195801
3456,0.5789370536804199
3488,0.5518190860748291
3520,0.586031436920166
3552,0.6390798091888428
3584,0.5424313545227051
3616,0.5805716514587402
3648,0.5867984294891357
3680,0.579085111618042
3712,0.6066024303436279
3744,0.5690510272979736
3776,0.5348730087280273
3808,0.6021449565887451
3840,0.5412538051605225
3872,0.5533630847930908
3904,0.534982442855835
3936,0.5259342193603516
3968,0.5541262626647949
4000,0.5239741802215576
4032,0.68829345703125
4064,0.5760619640350342
4096,0.5401496887207031
